,1e-3
0,0.502278107881546
1,0.4264062981009483
2,0.4177119302749634
3,0.41494667690992354
4,0.40535882097482684
5,0.3985145793557167
6,0.39456801575422285
7,0.3930946736335754
8,0.39143407729268076
9,0.38948308902978895
10,0.38807578003406523
11,0.3856759151816368
12,0.3830826772749424
13,0.3815514539480209
14,0.3793077740073204
15,0.37740976893901823
16,0.3755172046422958
17,0.3737747511267662
18,0.3718349211812019
19,0.3705602033436298
20,0.3684943227469921
21,0.3669138237535953
22,0.3646434023082256
23,0.3625492793619633
24,0.36143716725707054
25,0.3587529763877392
26,0.35706798365712167
27,0.35490902289748194
28,0.35379231694340707
29,0.3515743580758572
30,0.34837566924095154
31,0.3461983626484871
32,0.34480174496769905
33,0.3417865233123302
34,0.33947870030999183
35,0.33701991122961045
36,0.3350262349247932
37,0.33334155517816544
38,0.33026042547822
39,0.3276306869387627
40,0.32507150730490686
41,0.3244391088783741
42,0.3209157572686672
43,0.3189778920710087
44,0.3159303594529629
45,0.31227679693698884
46,0.30977905648946763
47,0.30868724024295807
48,0.30667771625518797
49,0.30307123774290085
50,0.30052103200554847
51,0.29800470009446145
52,0.2954405788481235
53,0.29266557592153547
54,0.2907896620631218
55,0.2888841049671173
56,0.28525140139460564
57,0.2840533431768417
58,0.28072626194357875
59,0.2779146241545677
60,0.2749093173146248
61,0.2716168095171452
62,0.27028710132837297
63,0.26907837092876435
64,0.26732709154486656
65,0.2650240769684315
66,0.2617134483754635
67,0.2592947440743446
68,0.2639901297688484
69,0.2560646683573723
70,0.2545984412431717
71,0.2520110794007778
72,0.24957342159748078
73,0.24734936577081681
74,0.24654026427865028
75,0.24489571839571
76,0.24421568790078163
77,0.24121214199066163
78,0.24022819209098817
79,0.24370475828647614
80,0.23695566642284394
81,0.23563159742951392
82,0.23551676559448242
83,0.2327796287238598
84,0.2311123345196247
85,0.2294434071779251
86,0.22777173924446106
87,0.22627151864767076
88,0.22584766039252283
89,0.22446048250794412
90,0.22350085359811783
91,0.22181216928362846
92,0.2209865342080593
93,0.21759571608901024
94,0.21770100700855255
95,0.21679124996066093
96,0.21597474649548531
97,0.2145107212662697
98,0.21457565036416054
99,0.21212625655531883
100,0.2108181939423084
101,0.21202352303266525
102,0.20931911787390708
103,0.20859121787548066
104,0.20683673945069314
105,0.20730014264583588
106,0.20585168927907943
107,0.20422144609689713
108,0.2036046856045723
109,0.20266302108764647
110,0.20179644879698752
111,0.2010953088104725
112,0.20096920204162597
113,0.19886459216475486
114,0.19898055517673494
115,0.1981634219288826
116,0.19732331144809723
117,0.19575742018222808
118,0.1959122547507286
119,0.19672396314144133
120,0.1948576945066452
121,0.19298172518610954
122,0.19230924466252328
123,0.19334236007928848
124,0.19312419989705085
125,0.1907077243924141
126,0.18999732601642608
127,0.19007856139540671
128,0.18990560805797577
129,0.18827910998463632
130,0.18657993927598
131,0.1896446151137352
132,0.18825081430375576
133,0.18616748628020285
134,0.18394345378875732
135,0.18506138423085214
136,0.18315577481687068
137,0.1854414936900139
138,0.18387687550485135
139,0.1840114309489727
140,0.1841767311990261
141,0.18161839881539346
142,0.1811060293018818
143,0.1807216566503048
144,0.1800081908106804
145,0.1812357795089483
146,0.18002977651357652
147,0.17871148473024367
148,0.17837907940149308
149,0.18049317437410356
150,0.17791454142332078
151,0.17679619374871253
152,0.17797929203510285
153,0.17671165162324906
154,0.17647793716192245
155,0.1755452759861946
156,0.17636756584048272
157,0.17603563177585602
158,0.17449415269494056
159,0.1739670376777649
160,0.17250893345475196
161,0.17388997042179108
162,0.1743335427939892
163,0.1733056211322546
164,0.17224425932765006
165,0.17247462145984171
166,0.17251351642608642
167,0.17216967482864856
168,0.17083702920377256
169,0.17209804253280162
170,0.17130025464296342
171,0.17106376457214356
172,0.1721612108796835
173,0.17045406185090542
174,0.16910609126091003
175,0.1704103398323059
176,0.16880129124224186
177,0.16792542372643948
178,0.16748613335192203
179,0.16766671238839626
180,0.16990977288782597
181,0.1673453892171383
182,0.16627324931323528
183,0.1741445072442293
184,0.1691110804080963
185,0.1657316586971283
186,0.16452018128335477
187,0.16480188930034637
188,0.1662466144412756
189,0.1646570533812046
190,0.16442569705843926
191,0.16494588607549668
192,0.16468599136173726
193,0.16440254516899586
194,0.16414190270006657
195,0.16342746339738368
196,0.16313847231864928
197,0.16418539933860302
198,0.1633319841772318
199,0.16368696272373198
200,0.16380825816094877
201,0.16184759894013404
202,0.1621049207150936
203,0.16114220835268497
204,0.16083764705061912
205,0.16226728220283984
206,0.1643228555172682
207,0.1617222600132227
208,0.1606755502820015
209,0.15966301222145557
210,0.1610366412103176
211,0.1602441281527281
212,0.15967263896763326
213,0.16028318771719932
214,0.15975507996976376
215,0.1608024650812149
216,0.15895992128551006
217,0.157724296733737
218,0.16379221068322658
219,0.16011857123672962
220,0.15761450666189195
221,0.15649177922308444
222,0.15808174991607665
223,0.15842032420635224
224,0.1581208264827728
225,0.15798761193454267
226,0.15743099896609783
227,0.15637389270961286
228,0.15622777181863784
229,0.15752847707271575
230,0.15700100773572923
231,0.15602117271721364
232,0.15704119327664376
233,0.15759026774764062
234,0.15614105415344237
235,0.15594115926325322
236,0.15569322811067104
237,0.1571758147329092
238,0.1554751317203045
239,0.15434140466153623
240,0.15641344167292118
241,0.15583855053782464
242,0.15412864789366723
243,0.15595661233365535
244,0.15367938989400864
245,0.15407256790995597
246,0.1533386183977127
247,0.1555578274279833
248,0.15367676332592964
249,0.15415769815444946
